cityname,lat,long,temp,Humidity,Cloudiness,Wind_Speed,Country,Date
abu dhabi,24.47,54.37,91.0,66,0,6.93,AE,1592502924
bereda,43.27,-7.54,66.99,57,80,10.0,ES,1592503166
slyudyanka,51.66,103.71,50.88,75,36,1.97,RU,1592503166
basco,20.45,121.97,84.42,82,34,14.7,PH,1592503166
mangai,-4.05,19.53,72.16,43,68,0.22,CD,1592503145
sioux lookout,50.1,-91.92,71.6,73,90,6.93,CA,1592503167
vila do maio,15.13,-23.22,86.0,51,0,28.86,CV,1592503167
sri aman,1.24,111.46,77.0,100,44,1.14,MY,1592503167
taveta,-3.4,37.67,69.8,88,75,4.7,KE,1592503167
batie,9.88,-2.92,84.78,61,89,7.54,BF,1592503168
raudeberg,61.99,5.14,75.2,87,40,11.41,NO,1592503168
great yarmouth,52.61,1.73,69.8,56,74,11.41,GB,1592503168
jaslo,49.75,21.47,71.6,78,80,3.36,PL,1592503169
shimoda,34.67,138.95,59.0,92,100,13.02,JP,1592503169
iberia,29.95,-91.75,86.0,62,90,5.82,US,1592503169
mirador,-6.37,-44.36,86.23,41,0,8.14,BR,1592503169
whitehorse,60.72,-135.05,55.0,66,75,13.87,CA,1592502932
buala,-8.14,159.59,80.2,79,12,4.41,SB,1592503169
necochea,-38.55,-58.74,57.0,86,87,11.01,AR,1592503170
general pico,-35.66,-63.76,61.63,33,26,6.6,AR,1592503170
sorland,67.67,12.69,48.2,81,20,23.04,NO,1592502707
scarborough,54.28,-0.4,57.0,96,99,1.01,GB,1592503170
ust-kut,56.79,105.77,46.36,87,0,2.86,RU,1592503170
krizevci,46.02,16.54,77.0,47,98,10.29,HR,1592503171
saint-joseph,-21.37,55.62,69.8,73,75,18.34,RE,1592503171
puerto del rosario,28.5,-13.86,75.2,73,40,12.75,ES,1592503171
progreso,21.28,-89.67,90.0,66,75,6.93,MX,1592503171
san vicente,-26.62,-54.13,74.97,59,52,8.39,AR,1592503171
aberfeldy,56.62,-3.86,59.0,76,82,4.0,GB,1592503171
waingapu,-9.66,120.26,75.38,82,5,11.72,ID,1592503172
kamenka,51.32,42.77,72.0,77,1,3.0,RU,1592503172
maceio,-9.67,-35.74,84.2,70,75,14.99,BR,1592502956
colquechaca,-18.67,-66.02,48.76,31,73,2.89,BO,1592503172
saint george,37.1,-113.58,75.2,14,1,8.05,US,1592502967
mandera,3.94,41.87,85.87,46,64,13.2,KE,1592503172
naryan-mar,67.67,53.09,47.68,54,56,2.17,RU,1592502955
broken hill,-31.95,141.43,44.6,70,0,12.75,AU,1592503173
cap malheureux,-19.98,57.61,70.0,76,100,7.0,MU,1592503173
tadine,-21.55,167.88,70.7,83,61,13.44,NC,1592503173
elk city,35.41,-99.4,87.8,45,1,16.11,US,1592503173
north platte,41.12,-100.77,68.0,45,90,18.34,US,1592503173
estacion coahuila,32.19,-115.0,91.4,20,5,4.7,MX,1592503173
crangeni,44.03,24.78,77.0,61,75,4.7,RO,1592503174
saldanha,-33.01,17.94,62.6,51,0,4.7,ZA,1592503174
high prairie,55.43,-116.49,64.09,52,66,3.47,CA,1592503174
tete,-16.16,33.59,68.0,77,40,7.81,MZ,1592503174
puerto varas,-41.32,-72.99,55.4,82,75,12.75,CL,1592503175
ilhabela,-23.78,-45.36,75.54,58,74,4.61,BR,1592503175
hualmay,-11.1,-77.61,68.65,66,46,9.24,PE,1592502923
tommot,58.96,126.29,52.63,83,99,0.85,RU,1592502913
king city,36.21,-121.13,82.99,13,0,3.0,US,1592503023
yuzhnyy,53.25,83.69,62.6,51,40,11.18,RU,1592503175
brenham,30.17,-96.4,90.0,49,40,9.17,US,1592502906
shingu,33.73,135.98,66.38,96,100,6.53,JP,1592503176
kongolo,-5.38,27.0,75.74,50,81,3.18,CD,1592503176
bom jesus da lapa,-13.26,-43.42,82.4,48,45,9.17,BR,1592503176
kismayo,-0.36,42.55,78.75,78,84,15.03,SO,1592503176
klaeng,12.78,101.65,78.21,85,96,1.66,TH,1592503177
olinda,-8.01,-34.86,84.2,70,75,16.11,BR,1592503177
nioro,13.35,-15.75,102.58,25,0,5.75,GM,1592503177
aras,42.56,-2.36,71.6,53,90,4.7,ES,1592503177
adrar,20.5,-10.07,105.08,12,52,15.55,MR,1592503177
syracuse,37.09,15.28,78.8,73,2,8.05,IT,1592503177
gazanjyk,39.24,55.52,87.58,13,5,15.37,TM,1592503178
bilibino,68.05,166.44,65.37,45,28,5.88,RU,1592503178
praia da vitoria,38.73,-27.07,69.8,68,75,11.14,PT,1592503178
alice springs,-23.7,133.88,52.0,45,0,5.82,AU,1592502934
san rafael del sur,11.85,-86.44,89.6,62,40,13.87,NI,1592503179
bluefields,12.01,-83.76,86.0,74,75,6.93,NI,1592503179
tirunelveli,8.73,77.7,85.55,58,96,14.72,IN,1592503179
acapulco,16.86,-99.89,87.8,58,75,8.05,MX,1592503179
tecoanapa,16.52,-98.75,87.96,59,17,10.36,MX,1592503179
chadiza,-14.07,32.44,54.3,92,26,5.37,ZM,1592503180
laela,-8.57,32.05,58.98,64,29,6.46,TZ,1592503180
doha,25.29,51.53,98.6,17,0,13.87,QA,1592503168
berlevag,70.86,29.09,50.0,71,20,12.75,NO,1592503180
namatanai,-3.67,152.43,79.84,83,12,6.46,PG,1592503180
champerico,14.3,-91.92,86.0,70,40,5.44,GT,1592503180
castro valley,37.69,-122.09,86.0,33,1,3.02,US,1592503026
rosetta,31.4,30.42,75.2,73,40,11.41,EG,1592503181
kovernino,57.13,43.81,59.9,78,11,7.09,RU,1592503181
tikhvin,59.65,33.53,74.86,77,63,6.29,RU,1592503181
port augusta,-32.5,137.77,54.0,58,0,11.41,AU,1592503181
xinxiang,35.31,113.87,70.65,79,13,1.88,CN,1592503181
san patricio,19.22,-104.7,86.0,66,20,11.41,MX,1592502948
kastamonu,41.5,33.67,56.73,88,99,0.16,TR,1592503136
port shepstone,-30.74,30.45,61.29,75,18,8.86,ZA,1592503182
balti,47.76,27.93,66.2,93,47,4.7,MD,1592503182
viet tri,21.3,105.43,82.4,83,61,8.05,VN,1592502981
viedma,-40.81,-63.0,60.8,34,32,22.19,AR,1592503167
yining,29.04,114.56,72.27,89,87,2.33,CN,1592503182
quatre cocos,-20.21,57.76,71.6,68,75,12.75,MU,1592503182
mwene-ditu,-7.0,23.45,66.56,38,87,1.97,CD,1592503183
andros town,24.7,-77.77,86.0,74,75,13.87,BS,1592503183
mecca,21.43,39.83,90.36,32,84,7.05,SA,1592503113
mayahi,13.96,7.67,98.74,24,13,2.93,NE,1592503183
ilo,-17.64,-71.34,65.53,71,91,6.35,PE,1592503183
huarmey,-10.07,-78.15,69.13,66,51,8.84,PE,1592503184
santa cruz,-17.8,-63.17,84.2,58,40,24.16,BO,1592503074
mount isa,-20.73,139.5,60.8,72,0,5.82,AU,1592503184
oktyabrskoye,43.06,44.74,64.4,88,100,4.47,RU,1592503184
inverness,57.48,-4.22,60.01,87,75,13.87,GB,1592503185
lodwar,3.12,35.6,88.38,37,52,5.32,KE,1592503185
mabaruma,8.2,-59.78,80.53,91,98,5.84,GY,1592503185
zhanaozen,43.3,52.8,85.84,13,81,6.24,KZ,1592503185
antalaha,-14.9,50.28,70.93,90,100,13.4,MG,1592503185
manzhouli,49.6,117.43,59.59,56,37,1.12,CN,1592503185
olafsvik,64.89,-23.71,49.32,75,98,17.74,IS,1592503186
sistranda,63.73,8.83,62.6,67,20,14.99,NO,1592503186
nouakchott,18.09,-15.98,91.4,46,1,20.8,MR,1592503186
sao paulo de olivenca,-3.38,-68.87,89.76,53,29,2.48,BR,1592503186
fengzhen,40.44,113.15,59.18,70,0,2.51,CN,1592503186
atocha,-20.93,-66.23,50.72,35,6,9.71,BO,1592503187
jurado,7.11,-77.76,84.16,74,36,5.97,CO,1592503187
tiarei,-17.53,-149.33,77.0,94,75,8.05,PF,1592503187
borovskoy,53.8,64.15,48.74,77,29,8.28,KZ,1592503187
sanandaj,35.31,46.99,74.66,19,0,3.85,IR,1592503187
benguela,-12.58,13.41,72.46,79,13,3.02,AO,1592503188
ulladulla,-35.35,150.47,45.0,100,4,1.12,AU,1592503188
key west,24.56,-81.78,87.8,70,20,4.7,US,1592503102
mbanza-ngungu,-5.25,14.87,70.74,57,59,1.14,CD,1592503188
amapa,1.0,-52.0,79.43,94,67,4.45,BR,1592503189
okha,53.57,142.95,39.38,97,100,9.04,RU,1592503189
riverton,40.52,-111.94,64.0,48,1,8.05,US,1592502959
muros,42.78,-9.06,64.99,65,2,18.01,ES,1592503189
aksay,47.26,39.87,75.0,64,20,12.44,RU,1592503189
coihaique,-45.58,-72.07,50.0,66,40,4.7,CL,1592503189
malanje,-9.54,16.34,64.78,39,0,3.65,AO,1592503190
banganapalle,15.32,78.23,84.69,59,97,10.87,IN,1592503190
port blair,11.67,92.75,82.94,84,76,11.97,IN,1592503190
campbell river,50.02,-125.24,64.4,63,75,4.7,CA,1592502970
turayf,31.67,38.66,87.8,29,0,20.8,SA,1592503190
naqadeh,36.96,45.39,71.15,28,0,5.75,IR,1592503190
luanda,-8.84,13.23,75.2,78,36,8.05,AO,1592503191
kemijarvi,66.71,27.43,58.24,92,100,5.37,FI,1592503191
vientiane,17.97,102.6,75.06,86,23,3.69,LA,1592502995
walvis bay,-22.96,14.51,84.2,16,0,8.05,NA,1592503191
